stop_id,stop_name,capacity,latitude,longitude,category
U104025,華齡街185巷口,12,25.08828,121.51985,中
U104026,前港公園(前港街),19,25.0848,121.52125,高
U104027,百齡高中,15,25.08736,121.52272,高
U104028,捷運芝山站(2號出口),21,25.10364,121.52219,高
U104029,臺灣戲曲中心,14,25.10208,121.51979,高
U104030,捷運劍潭站(2號出口),79,25.08288,121.52455,高
U104031,劍潭基河路口,20,25.08403,121.5249,高
U104032,志成公園,23,25.09667,121.53206,高
U104033,福林國小,14,25.09896,121.53025,高
U104034,中山中正路口,19,25.09651,121.52753,高
U104035,士林運動中心,30,25.08911,121.52154,高
U104036,陽明高中,36,25.09164,121.51706,高
U104037,兒童新樂園,23,25.09631,121.51449,高
U104038,臺北市立天文館,31,25.09598,121.51776,高
U104040,福林公園,17,25.09419,121.52833,高
U104041,捷運士林站(2號出口),30,25.09343,121.52642,高
U104043,士林高商,26,25.09435,121.51702,高
U104044,蘭雅公園,32,25.10991,121.53039,高
U104045,聯合醫院陽明院區,15,25.10455,121.53195,高
U104046,捷運芝山站(1號出口),36,25.10225,121.52286,中
U104047,至誠公園,15,25.10143,121.53585,高
U104048,原住民文化主題公園,21,25.10113,121.55159,高
U104049,通河東街2段10巷口,15,25.09106,121.51502,高
U104050,梅林新村,15,25.09755,121.54036,高
U104051,延平北中正路口,30,25.08678,121.50948,高
U104052,重慶北路四段190巷口,13,25.08505,121.51166,高
U104053,重慶北葫東街口,15,25.08393,121.51169,高
U104054,葫蘆國小,20,25.08254,121.5075,高
U104055,士林3號廣場,30,25.10459,121.52417,中
U104056,社正公園,15,25.08824,121.51054,高
U104057,社子國小,15,25.09058,121.50142,高
U104058,社中街384巷口,18,25.09346,121.50376,高
U104059,忠誠路一段138號,15,25.10641,121.52944,高
U104060,社子公園,14,25.0902,121.50622,高
U104061,國立故宮博物院,17,25.09833,121.54788,高
U104062,泰北高中,16,25.09763,121.53402,高
U104063,後港公園,15,25.09312,121.51419,高
U104064,重慶北路四段117號,18,25.08279,121.51219,高
U104065,社子島島頭公園,15,25.10893,121.46639,高
U104066,延平北路八段133巷口,15,25.10304,121.48297,高
U104067,坤天亭,14,25.1064,121.4836,高
U104068,社子島濕地解說小築,15,25.11314,121.48974,高
U104069,福安國中,11,25.10261,121.48819,高
U104070,福安消防分隊,15,25.09669,121.49706,高
U104071,聖山綠地,15,25.10696,121.53234,高
U104072,芝山國小,30,25.11044,121.53595,高
U104073,士林新天地,29,25.08899,121.51751,高
U104074,蘭雅國小,27,25.10775,121.52312,高
U104075,中正基河路口,28,25.0933,121.51962,高
U104076,福林公園(中正路),27,25.09609,121.53006,高
U104077,至善臨溪路口,22,25.09709,121.54229,高
U104078,市立圖書館葫蘆堵分館,13,25.08217,121.51074,高
U104079,東山路110巷口,16,25.11306,121.53945,高
U104080,永平社會住宅,15,25.08887,121.50314,高
U104081,雨農橋,16,25.10012,121.53253,高
U104082,通河街76巷/承德路四段10巷口,14,25.08019,121.5202,中
U104083,芝山聖佑宮,15,25.10455,121.53025,高
U104084,至誠雨聲街口,9,25.10199,121.52927,中
U104085,捷運線型公園(後街),13,25.09812,121.52449,高
U104086,天母公園,12,25.12408,121.53003,高
U104087,基河文林路口,16,25.08637,121.5247,高
U104088,文林福華路口,19,25.10094,121.52243,高
U104089,劍潭海外青年活動中心,24,25.0796,121.5237,高
U104090,社子國小,20,25.09029,121.50189,高
U104091,捷運劍潭站(1號出口),70,25.08577,121.52531,高
U104092,德行東山路口,12,25.1107,121.53999,高
U104094,重慶北通河西街口,12,25.08756,121.51177,高
U104095,葫蘆國小(延平北路五段285巷),15,25.08406,121.5067,高
U104096,社子市場,15,25.0881,121.50873,高
U104097,士林區農會社子分部,8,25.08912,121.5049,高
U104098,承德劍潭路口,19,25.0841,121.52341,高
U104099,文林路101巷口,17,25.08761,121.52608,高
U104100,延平北路五段257巷15弄口,13,25.08408,121.50959,高
U104101,延平北路五段257巷4弄口,15,25.08471,121.5089,高
U104102,啟明學校,16,25.11742,121.53472,高
U104103,中山福國路口,14,25.10203,121.52561,中
U104104,德行公園,14,25.10585,121.52376,中
U104105,承德後港街口,11,25.08238,121.52309,中
U104106,中山北路五段698巷口,15,25.09765,121.52757,高
U104107,捷運士林站(1號出口),38,25.09561,121.52552,高
U104108,捷運芝山站(2號出口),62,25.10336,121.52263,中
U104109,銘傳大學(中山北路五段280巷口),23,25.08762,121.52711,高
U104110,海光公園南側,12,25.08036,121.5084,高
U104111,士商路40巷口,15,25.09013,121.52054,高
U104112,劍潭郵局,16,25.08182,121.52431,高
U104113,士東路91巷口,16,25.11247,121.52914,高
U104114,美崙公園,13,25.09677,121.51931,高
U104115,臺北市立大學(忠誠路二段207巷),17,25.11642,121.53743,高
U104116,天母東路8巷/忠誠路二段154巷口,14,25.11579,121.53113,高
U104117,美崙公園(東北側),15,25.09886,121.51835,高
U104118,福安河濱公園,14,25.09646,121.49358,高
U105001,台北花木批發市場,32,25.00402,121.54074,高
U105002,捷運萬隆站(4號出口),21,25.0027,121.53861,高
U105003,捷運萬隆站(1號出口),34,25.00115,121.53916,高
U105004,萬和二號公園,26,25.00154,121.5364,高
U105005,捷運萬隆站(2號出口),12,25.00144,121.53983,中
U105006,景仁公園,16,24.99621,121.54043,高
U105007,捷運景美站(2號出口),63,24.99366,121.54124,高
U105008,羅斯福景隆街口,20,24.99898,121.5403,高
U105009,景福街/羅斯福路6段142巷口,28,24.99812,121.53663,高
U105010,興旺公園,30,25.00587,121.55012,高
U105011,興福國中,25,25.00465,121.54916,高
U105012,興隆路2段203巷,32,25.00346,121.54709,高
U105013,景美運動公園,11,25.00219,121.54454,中
U105014,景美醫院,18,24.99136,121.54008,高
U105015,師範大學公館校區,14,25.00792,121.53731,中
U105016,景華街128巷口,20,24.99543,121.54725,中
U105017,仙跡岩登山口(景興路),22,24.99118,121.5436,高
U105018,國立政治大學,35,24.98737,121.57726,高
U105019,捷運動物園站,18,24.99873,121.57985,中
U105020,捷運木柵站,31,24.99798,121.57455,高
U105021,捷運萬芳社區站,31,24.99886,121.56769,高
U105022,文山運動中心,20,24.99676,121.5596,高
U105023,捷運辛亥站,29,25.00467,121.55684,中
U105024,興豐公園,21,24.99982,121.54761,高
U105025,木柵光輝路口,19,24.98816,121.55528,高
U105026,考試院,22,24.98747,121.54984,高
U105027,和興路26巷口,15,24.98573,121.54532,高
U105028,世新大學,30,24.98859,121.54336,高
U105029,一壽橋,16,24.97837,121.55548,高
U105030,臺北市立景美女中,25,24.98058,121.55624,高
U105031,永安藝文館-表演36房,15,24.98414,121.56907,高
U105032,忠順區民活動中心,15,24.98471,121.56332,高
U105033,景文中學,36,24.98574,121.56745,高
U105034,老泉街籃球場,14,24.97619,121.5583,高
U105035,文山行政中心,18,24.98959,121.56959,高
U105036,木柵公園,25,24.98718,121.56059,中
U105037,興隆公共住宅D2區,19,24.98814,121.56356,高
U105038,木新路3段95巷口,16,24.98088,121.56313,高
U105039,樟腳里公園,15,24.98181,121.56567,高
U105040,實踐國中,14,24.98301,121.55404,高
U105041,指南路3段2巷,13,24.98537,121.57959,中
U105042,萊茵公園,14,24.98642,121.56514,高
U105043,木柵社會住宅,12,24.98935,121.56651,高
U105044,秀明路一段185巷口,20,24.99151,121.56836,高
U105045,秀明路一段129巷口,22,24.99111,121.56703,高
U105046,恆光橋(老泉街),13,24.97989,121.56753,高
U105047,萬有3號公園,14,24.99889,121.5433,中
U105048,捷運萬芳醫院站(興隆路三段115巷),20,24.99939,121.55848,中
U105049,興得閱覽室,24,24.99579,121.55498,高
U105050,辛亥生態公園,18,25.00348,121.55642,中
U105051,博嘉運動公園,12,25.00079,121.57534,中
U105052,國立政治大學(萬壽路),54,24.98841,121.57649,高
U105053,仙岩公園,11,24.99797,121.54982,中
U105054,政大一街口,14,24.98543,121.58006,中
U105055,文山第二行政中心,30,25.00115,121.55142,高
U105056,移民署訓練中心,13,24.99271,121.55865,高
U105057,海巡署(南側),10,24.99472,121.55949,中
U105058,明道國小東南側,18,24.98695,121.56456,中
U105059,木南公園,12,24.98662,121.57071,中
U105060,實踐國中(木新路三段310巷口),17,24.98339,121.55645,高
U105061,師範大學公館校區,25,25.00753,121.53719,中
U105062,捷運動物園站(2號出口),39,24.99766,121.57875,高
U105063,政大水岸電梯,10,24.982,121.5717,高
U105064,敦南山林,14,25.00264,121.5768,高
U105065,辛亥路五段73巷口,13,24.99811,121.55307,中
U105066,景美污水抽水站,15,25.01076,121.53637,中
U105067,萬和三號公園(北側),13,25.00345,121.53636,高
U105068,景興國中,10,24.99609,121.54284,中
U105069,景仁公園,15,24.9966,121.5403,高
U105070,師大公館校區學二舍,40,25.00825,121.53419,中
U105071,景行公園,15,24.99279,121.54255,中
U105072,萬興國小,16,24.98939,121.57682,高
U105073,辛亥路四段77巷口,14,25.00743,121.55877,中
U105074,景興路42巷口,12,24.99696,121.54454,中
U105075,木柵路三段48巷,15,24.98768,121.56565,高
U105076,木柵路二段109巷,15,24.98944,121.56195,高
U105077,試院公園,15,24.98808,121.54723,高
U105080,萬美萬安街口,16,25.00223,121.57039,中
U105081,興隆路二段203巷(敦南),27,25.00198,121.54856,高
U105082,新光秀明路口,15,24.99197,121.57371,中
U105083,光輝路134巷口,15,24.98532,121.55831,高
U105084,光輝公園,15,24.98655,121.5552,高
U106001,臺北自來水事業處,20,25.013741,121.53068,中
U106002,汀州思源街口東南側,20,25.014697,121.531908,中
U106003,捷運公館站(1號出口),12,25.014529,121.534374,中
U106004,捷運公館站(4號出口),12,25.015069,121.533828,中
U106005,捷運古亭站(9號出口),20,25.02694,121.52224,中
U106006,捷運古亭站(2號出口),55,25.0255,121.52346,高
U106007,捷運臺電大樓站(1號出口),34,25.0197,121.529,中
U106008,客家文化主題公園,15,25.02069,121.52456,中
U106009,河堤國小,27,25.02277,121.52289,高
U106010,紀州庵,25,25.02092,121.52049,高
U106011,捷運臺電大樓站(5號出口),14,25.02075,121.52771,中
U106012,捷運臺電大樓站(4號出口),13,25.02102,121.52751,中
U106013,羅斯福三段金門街口,15,25.02345,121.52498,高
U106014,牯嶺公園,46,25.02338,121.51889,高
U106015,捷運古亭站(8號出口),15,25.02701,121.52164,中
U106016,捷運古亭站(7號出口),12,25.02805,121.52155,中
U106017,南昌公園,41,25.02698,121.52081,高
U106018,和平重慶路口,46,25.02723,121.51659,高
U106019,孫立人將軍官邸,23,25.02933,121.51854,高
U106020,羅斯福路二段6巷口,14,25.02923,121.52058,高
U106021,金華杭州南路口,21,25.031,121.52211,高
U106022,捷運中正紀念堂站(3號出口),18,25.03239,121.51866,中
U106023,捷運中正紀念堂站(4號出口),21,25.03376,121.51772,高
U106024,重慶南海路口西南側,16,25.03124,121.51459,高
U106025,螢橋國小,32,25.02626,121.51402,高
U106026,古亭智慧圖書館,14,25.02543,121.51052,高
U106027,永昌公園,15,25.02643,121.50936,高
U106028,中華路二段409巷口,15,25.02598,121.50806,高
U106029,南機場夜市(中華路二段),41,25.02886,121.50518,高
